User_ID,User_Name,Gender,City,Movie,Genre,Actor,Director,OTT_Platform,Movie_Rating,Watch_Time_Minutes,Wishlist_Movies,Watch_History,Recommended_Movie,Watch_Date
1,Reyansh Shetty,Male,Mumbai,Titanic,Romance,Jr NTR,Russo Brothers,ZEE5,2,73,RRR,"KGF, The Batman, Inception, Titanic",Inception,2024-11-23
2,Krishna Reddy,Female,Mumbai,Pushpa,Action,Allu Arjun,Atlee,Netflix,1,124,"Titanic, Avengers, The Batman","Avengers, The Batman",Titanic,2024-11-16
3,Anika Singh,Female,Hyderabad,Avatar,Action,Prabhas,Sandeep Reddy Vanga,Disney+ Hotstar,1,114,"Inception, The Batman, RRR","Joker, KGF, RRR, The Batman",Pushpa,2024-01-20
4,Riya Khan,Female,Bangalore,The Batman,Action,Christian Bale,Atlee,Disney+ Hotstar,3,146,"Avatar, Pushpa, Inception","KGF, Pushpa, Titanic",Avatar,2024-02-23
5,Pooja Agarwal,Female,Delhi,Interstellar,Sci-Fi,Christian Bale,Matt Reeves,Disney+ Hotstar,3,223,"Inception, KGF","Pushpa, Titanic, Joker, Inception",KGF,2024-09-02
6,Sai Gupta,Male,Delhi,Avatar,Action,Robert Downey Jr.,James Cameron,Amazon Prime,1,219,Joker,"Interstellar, The Batman, Inception",Pushpa,2024-12-26
7,Shaurya Kapoor,Female,Delhi,RRR,Drama,Shah Rukh Khan,Sukumar,SonyLIV,5,120,Avatar,"Inception, The Batman, RRR",Avengers,2024-10-12
8,Sara Khan,Female,Hyderabad,RRR,Drama,Jr NTR,Atlee,ZEE5,2,197,"Titanic, Pushpa, RRR","Inception, Interstellar",Avatar,2024-05-01
9,Aanya Khan,Female,Pune,Interstellar,Sci-Fi,Joaquin Phoenix,Atlee,Netflix,4,171,"Interstellar, Inception","Joker, Avatar, Titanic, Interstellar, KGF",Titanic,2024-08-13
10,Aditya Gupta,Male,Hyderabad,Inception,Sci-Fi,Ram Charan,Sukumar,Disney+ Hotstar,5,65,"Titanic, Avatar","Avatar, RRR, Pushpa, Inception, Titanic",Joker,2024-12-09
11,Myra Das,Male,Pune,The Batman,Action,Christian Bale,Todd Phillips,Netflix,5,37,"Titanic, The Batman","Avatar, Titanic, Avengers, The Batman",KGF,2024-08-01
12,Myra Joshi,Female,Chennai,Avatar,Action,Leonardo DiCaprio,Sandeep Reddy Vanga,Disney+ Hotstar,4,213,"Joker, Avengers, Titanic","Titanic, Avengers",Joker,2024-05-05
13,Aarav Bansal,Female,Hyderabad,Titanic,Romance,Ram Charan,Sandeep Reddy Vanga,Amazon Prime,1,182,"The Batman, Interstellar, Joker","RRR, Titanic, KGF, Avatar",Avengers,2024-10-22
14,Myra Shetty,Female,Hyderabad,Inception,Sci-Fi,Ram Charan,Todd Phillips,Netflix,2,222,Joker,"RRR, Interstellar",Titanic,2024-03-16
15,Krishna Choudhary,Female,Hyderabad,The Batman,Action,Leonardo DiCaprio,Christopher Nolan,Disney+ Hotstar,2,163,"KGF, Avatar","RRR, KGF, Interstellar, Inception",Avengers,2024-09-12
16,Aarav Gupta,Male,Delhi,The Batman,Action,Christian Bale,James Cameron,ZEE5,1,188,Avatar,"Interstellar, KGF",The Batman,2024-02-12
17,Aanya Patel,Male,Pune,Avatar,Action,Prabhas,Atlee,Disney+ Hotstar,4,77,"RRR, Avatar","Joker, RRR, Avatar, The Batman, Avengers",KGF,2024-05-27
18,Myra Mehta,Female,Chennai,Joker,Drama,Ram Charan,Prashanth Neel,Netflix,1,66,"Avengers, Pushpa","Interstellar, Inception, Titanic",The Batman,2024-11-24
19,Ananya Agarwal,Female,Pune,Titanic,Romance,Leonardo DiCaprio,Matt Reeves,SonyLIV,2,203,"KGF, Avatar","Interstellar, Titanic, Joker, RRR",Avatar,2024-11-23
20,Sai Gupta,Male,Pune,Avatar,Action,Prabhas,Russo Brothers,Amazon Prime,2,218,"Inception, RRR","Titanic, Avatar, Pushpa, Inception",Avengers,2024-02-11
21,Aanya Kulkarni,Female,Bangalore,Avatar,Action,Leonardo DiCaprio,Christopher Nolan,SonyLIV,5,195,Inception,"Joker, Titanic, KGF",Inception,2024-04-28
22,Shaurya Reddy,Female,Bangalore,Pushpa,Action,Prabhas,Matt Reeves,Amazon Prime,3,146,"KGF, Avengers, Joker","Pushpa, Joker",RRR,2024-08-16
23,Aanya Khan,Male,Bangalore,RRR,Drama,Allu Arjun,Todd Phillips,SonyLIV,1,129,Interstellar,"Avatar, Inception",Inception,2024-06-21
24,Aarav Kapoor,Female,Pune,RRR,Drama,Allu Arjun,Todd Phillips,SonyLIV,4,147,KGF,"Pushpa, Titanic, KGF",RRR,2024-06-24
25,Aanya Singh,Male,Mumbai,The Batman,Action,Shah Rukh Khan,Todd Phillips,Disney+ Hotstar,3,162,Titanic,"Interstellar, Inception, Avengers, Avatar, The Batman",Titanic,2024-02-09
26,Myra Yadav,Female,Chennai,Interstellar,Sci-Fi,Leonardo DiCaprio,Prashanth Neel,SonyLIV,2,187,"KGF, Avengers, RRR","Pushpa, Inception, Avengers, Titanic, Joker",Interstellar,2024-09-01
27,Reyansh Khan,Male,Hyderabad,Avatar,Action,Robert Downey Jr.,Prashanth Neel,Amazon Prime,3,194,"Pushpa, The Batman","Interstellar, KGF, Joker",Joker,2024-08-03
28,Myra Sharma,Male,Bangalore,Inception,Sci-Fi,Leonardo DiCaprio,Russo Brothers,Netflix,5,76,The Batman,"Inception, Avatar, Titanic, The Batman",The Batman,2024-03-08
29,Aarav Singh,Male,Delhi,Titanic,Romance,Leonardo DiCaprio,S. S. Rajamouli,ZEE5,3,116,Titanic,"Joker, RRR",Interstellar,2024-09-09
30,Aadhya Reddy,Female,Pune,RRR,Drama,Christian Bale,Atlee,ZEE5,2,41,Joker,"Titanic, The Batman, Pushpa, KGF",RRR,2024-08-24
31,Arjun Patel,Male,Mumbai,Inception,Sci-Fi,Robert Downey Jr.,Russo Brothers,Disney+ Hotstar,4,181,"Avatar, Pushpa, Interstellar","Titanic, Avatar",Avatar,2024-06-30
32,Aanya Gupta,Female,Pune,KGF,Action,Prabhas,Sukumar,Disney+ Hotstar,2,94,"The Batman, Pushpa, Avengers","Pushpa, Inception",KGF,2024-01-28
33,Vivaan Nair,Male,Delhi,Interstellar,Sci-Fi,Yash,Russo Brothers,Amazon Prime,2,228,"Inception, Titanic, KGF","Joker, KGF, Avengers, RRR",Avatar,2024-06-27
34,Krishna Gupta,Female,Hyderabad,Titanic,Romance,Leonardo DiCaprio,Matt Reeves,Netflix,3,94,"Inception, Joker, RRR","KGF, Pushpa, Avengers, Inception",Joker,2024-03-31
35,Vivaan Bansal,Female,Chennai,Avengers,Action,Yash,Prashanth Neel,ZEE5,3,75,Avengers,"Avengers, Joker, Interstellar",Inception,2024-04-25
36,Myra Gupta,Male,Hyderabad,KGF,Action,Prabhas,Matt Reeves,Disney+ Hotstar,3,60,Inception,"Interstellar, Pushpa, Avengers",RRR,2024-01-24
37,Arjun Sharma,Male,Mumbai,Avengers,Action,Christian Bale,Matt Reeves,ZEE5,1,46,"Inception, KGF","Interstellar, Avengers, Inception",Interstellar,2024-05-01
38,Sara Gupta,Female,Chennai,Avatar,Action,Robert Downey Jr.,Todd Phillips,SonyLIV,3,171,"Pushpa, Joker, Titanic","Pushpa, Joker, RRR, The Batman, Avatar",RRR,2024-09-29
39,Myra Bansal,Female,Bangalore,Titanic,Romance,Allu Arjun,Prashanth Neel,Netflix,4,231,"Titanic, Avatar, Interstellar","Pushpa, Interstellar, The Batman, Avengers",Titanic,2024-01-11
40,Vivaan Mehta,Female,Delhi,KGF,Action,Robert Downey Jr.,Christopher Nolan,Netflix,2,114,Inception,"The Batman, RRR, Pushpa, Interstellar, Titanic",KGF,2024-10-24
41,Ishaan Nair,Male,Pune,Interstellar,Sci-Fi,Robert Downey Jr.,S. S. Rajamouli,Amazon Prime,5,111,"Titanic, Joker, Avatar","Avengers, RRR, Joker, KGF",Pushpa,2024-12-10
42,Diya Kapoor,Female,Hyderabad,Avengers,Action,Leonardo DiCaprio,James Cameron,ZEE5,5,79,"RRR, The Batman, Interstellar","Avatar, The Batman, Pushpa, KGF",Inception,2024-12-03
43,Ira Khan,Female,Delhi,KGF,Action,Jr NTR,Todd Phillips,SonyLIV,4,111,Titanic,"Joker, Inception, Avengers, Pushpa",The Batman,2024-01-30
44,Ananya Khan,Female,Pune,Avengers,Action,Jr NTR,Prashanth Neel,Amazon Prime,4,191,"The Batman, Joker","Interstellar, Inception, Pushpa, RRR, Titanic",The Batman,2024-12-10
45,Aditya Choudhary,Female,Mumbai,Inception,Sci-Fi,Jr NTR,Sandeep Reddy Vanga,ZEE5,5,208,Avengers,"The Batman, Avatar, KGF, Avengers, Joker",Avatar,2024-01-14
46,Riya Nair,Female,Mumbai,RRR,Drama,Christian Bale,Sukumar,Disney+ Hotstar,3,142,"RRR, Interstellar","Pushpa, KGF, Titanic, Avatar, Avengers",Pushpa,2024-09-01
47,Diya Bansal,Female,Bangalore,Joker,Drama,Ram Charan,James Cameron,Amazon Prime,3,173,"Avatar, Pushpa, Titanic","Pushpa, Joker",Pushpa,2024-12-06
48,Pooja Joshi,Male,Pune,Pushpa,Action,Shah Rukh Khan,Todd Phillips,SonyLIV,1,239,"Avatar, Titanic","Pushpa, Joker, KGF, Avatar, Avengers",RRR,2024-06-17
49,Vihaan Patel,Male,Chennai,Joker,Drama,Robert Downey Jr.,Atlee,Disney+ Hotstar,5,223,RRR,"Pushpa, The Batman, Avatar",Avatar,2024-12-10
50,Ananya Joshi,Female,Chennai,KGF,Action,Joaquin Phoenix,Russo Brothers,Netflix,2,161,"Pushpa, RRR","RRR, Avatar",KGF,2024-08-22
51,Anika Joshi,Female,Pune,Interstellar,Sci-Fi,Prabhas,Prashanth Neel,Netflix,2,129,"Interstellar, The Batman, KGF","Inception, Titanic",Interstellar,2024-06-23
52,Ira Das,Female,Pune,Avatar,Action,Joaquin Phoenix,Atlee,Disney+ Hotstar,1,223,Joker,"Avengers, Interstellar",KGF,2024-03-21
53,Aanya Singh,Male,Pune,Joker,Drama,Christian Bale,Prashanth Neel,Amazon Prime,1,105,"Pushpa, Joker, Avatar","Avengers, Joker, KGF, Inception, Titanic",Avatar,2024-12-10
54,Pooja Das,Female,Chennai,Joker,Drama,Jr NTR,S. S. Rajamouli,Amazon Prime,4,126,"Avengers, Avatar","KGF, Titanic",Titanic,2024-12-20
